;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
0;87.220;Chevrolet;Spin;1.8 Activ 8v Flex 4p Aut;20.747;2019;PR;Curitiba;Hyundai Veiculos
1;89.900;Ford;Ecosport;1.5 Tivct Flex Freestyle Manual;19.799;2020;PR;Curitiba;Hyundai Veiculos
2;85.900;Ford;Ecosport;Titanium 2.0;64.987;2018;PR;Curitiba;Vazio
3;65.900;Chevrolet;Prisma;Lt 1.4 Mecanico _4p_;64.472;2019;PR;Capão da Imbuia - Curitiba;Vazio
4;57.900;Chevrolet;Onix;1.0 Mt Lt;44.000;2019;PR;Capão Raso - Curitiba;Vazio
5;72.900;Jeep;Renegade;Sport 1.8 Flex Manual;74.000;2016;PR;Centro - Londrina;Vazio
6;74.990;Hyundai;Hb20;Hb20 Premium 1.6;62.000;2018;PR;Centro - Londrina;Vazio
7;58.900;Hyundai;Hb20;Hb20 Comfort Plus 1.0 Flex 12v Mec.;56.000;2019;PR;Capão Raso - Curitiba;Vazio
8;79.600;Honda;Civic;Sedan Lxs C-at 1.8 16v 4p;92.000;2016;PR;Boa Vista - Curitiba;Vazio
9;74.000;Chevrolet;Tracker;Chev Ltz At;94.800;2015;PR;Jardim Carvalho - Ponta Grossa;Vazio
10;86.900;Volkswagen;Polo;Highline 200 Tsi 1.0 Flex 12v Aut;90.000;2019;PR;Centro - Londrina;Vazio
11;76.700;Jeep;Renegade;1.8 16v Flex Sport 4p Automático;20.000;2016;PR;Boa Vista - Curitiba;Vazio
12;89.900;Renault;Duster;Oroch Dyna 2.0 16v Aut;17.948;2019;PR;Seminário - Curitiba;Vazio
13;89.900;Fiat;Strada;Adventure Cabine Dupla;90.000;2019;PR;Conradinho - Guarapuava;Vazio
14;80.900;Fiat;Strada;Freedom Cd1.4 Flex 8v;36.000;2019;PR;Centro - Londrina;Vazio
15;84.500;Hyundai;Hb20s;Hb20s Premium 1.6 Flex 16v Aut. 4p;10.559;2019;PR;Rodocentro - Londrina;Vazio
16;56.500;Fiat;Idea;Adventure 1.8 16v(flex) 4p;36.777;2016;PR;Rodocentro - Londrina;Vazio
17;55.000;Chevrolet;Prisma;1.0 Sed. Joy Ls;73.000;2019;PR;Centro - Londrina;Vazio
18;55.990;Fiat;Strada;Working Hard 1.4 Fire Flex 8v Cs;115.000;2018;PR;Centro - Londrina;Vazio
19;56.000;Volkswagen;Gol;1.6 16v Msi Aut. 5p;73.000;2019;PR;Jardim União - Cambé;Vazio
20;83.000;Jeep;Renegade;1.8 Limited Edition Flex Aut. 5p;96.000;2016;PR;São Cristóvão - União da Vitória;Vazio
21;64.900;Renault;Kwid;Outsider 1.0 Flex 12v 5p Mec;7.862;2022;PR;Rebouças - Curitiba;Vazio
22;63.900;Volkswagen;Voyage;1.6 8v Flex 4p Manual;47.029;2020;PR;Rebouças - Curitiba;Vazio
23;56.000;Volkswagen;Saveiro;1.6 Trendline Cab. Dupla Total Flex 2p;110.000;2015;PR;Pinheirinho - Curitiba;Vazio
24;80.000;Volkswagen;Golf;Volkswagen Golf Comfortline 1.6 Msi Total Flex Mec;52.035;2016;PR;Bacacheri - Curitiba;Vazio
25;82.888;Toyota;Corolla;1.8 16v Gli Upper Flex Multi-drive 4p;132.000;2016;PR;Centro - Arapongas;Vazio
26;58.900;Volkswagen;Saveiro;1.6 Robust Cab. Simples Total Flex 2p;99.000;2019;PR;Bacacheri - Curitiba;Vazio
27;88.900;Renault;Sandero;Rs Racing Spirit Flex 2.0 16v 5p;11.400;2021;PR;Parolin - Curitiba;Vazio
28;78.900;Hyundai;Hb20;Hb20 Evolution 1.0 Flex 12v Mec;20.240;2021;PR;Curitiba;Hyundai Veiculos
29;76.000;Fiat;Strada;1.4 Hard Working Cab. Dupla Flex 3p;42.000;2019;PR;Parigot de Souza 2 - Londrina;Vazio
30;65.900;Nissan;Versa;1.6 16v Sl Unique Aut. 4p;102.000;2017;PR;Parigot de Souza 2 - Londrina;Vazio
31;55.900;Chevrolet;Onix;1.4 Ltz 5p;124.000;2016;PR;Parigot de Souza 1 - Londrina;Vazio
32;79.900;Ford;Ecosport;1.5 Tivct Flex Se Automático;62.923;2018;PR;Londrina;Vazio
33;83.990;Volkswagen;Virtus;1.0 200 Tsi Comfortline Automático;64.000;2020;PR;São Cristovão - Cascavel;Vazio
34;84.900;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;53.269;2021;PR;Londrina;Vazio
35;86.900;Ford;Ecosport;1.5 Tivct Flex Freestyle Manual;38.747;2019;PR;Londrina;Vazio
36;89.900;Honda;Fit;1.5 Lx 16v Flex 4p Automático;60.482;2019;PR;Londrina;Vazio
37;60.490;Chevrolet;Onix;1.0 Mpfi Lt 8v Flex 4p Manual;45.702;2019;PR;Oficinas - Ponta Grossa;Vazio
38;82.260;Citroën;C4;Cactus 1.6 Vti 120 Flex Feel Eat6;51.403;2020;PR;Rodocentro - Londrina;Localiza Seminovos
39;75.900;Honda;Civic;2.0 Lxr Flex Aut. 4p;100.000;2015;PR;Bacacheri - Curitiba;Vazio
40;65.670;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;53.985;2020;PR;Rodocentro - Londrina;Localiza Seminovos
41;77.460;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;55.203;2020;PR;Rodocentro - Londrina;Localiza Seminovos
42;82.260;Citroën;C4;Cactus 1.6 Vti 120 Flex Feel Eat6;51.054;2020;PR;Rodocentro - Londrina;Localiza Seminovos
43;55.370;Renault;Logan;1.0 12v Sce Flex Life Manual;69.475;2021;PR;Rodocentro - Londrina;Localiza Seminovos
44;70.810;Fiat;Cronos;1.3 Firefly Flex Drive Manual;60.385;2020;PR;Oficinas - Ponta Grossa;Vazio
