;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
0;70.900;Chevrolet;Cruze;Cruze Hb Sport Lt 1.8 16v Flexp. 5p Aut;77.710;2015;SC;Ponte do Imaruim - Palhoça;Vazio
1;65.000;Renault;Duster;1.6 16v Expression Sce 5p;68.000;2017;SC;Cristo Rei - Chapecó;Vazio
2;65.990;Chevrolet;Onix;Onix 1.4 Ltz Spe/4;142.459;2018;SC;Kobrasol - São José;Vazio
3;57.990;Hyundai;Hb20s;Hb20s 1.6 Premium (aut) 4p Gnv Sedan;94.890;2015;SC;Kobrasol - São José;Vazio
4;61.990;Ford;Ecosport;Ecosport Titanium 2.0 16v Powershift (flex);95.943;2015;SC;Kobrasol - São José;Vazio
5;59.900;Fiat;Bravo;Bravo Sporting 1.8 16v (flex);106.485;2016;SC;Kobrasol - São José;Vazio
6;56.900;Chevrolet;Onix;Onix Joy Hatch;62.889;2020;SC;Kobrasol - São José;Vazio
7;73.890;Honda;Fit;Honda Fit 1.5 16v Lx Cvt (flex);91.200;2016;SC;Kobrasol - São José;Vazio
8;65.890;Chevrolet;Onix;Onix 1.4 Lt Spe/4 (aut);146.097;2018;SC;Kobrasol - São José;Vazio
9;59.990;Ford;Ecosport;Ecosport Freestyle 1.6 16v (flex);107.101;2015;SC;Kobrasol - São José;Vazio
10;62.990;Chevrolet;Prisma;Prisma 1.4 Lt Spe/4;107.661;2018;SC;Kobrasol - São José;Vazio
11;79.990;Fiat;Fiorino;Fiorino 1.4 Furgão Hard Working Mec 3p;65.815;2020;SC;Kobrasol - São José;Vazio
12;66.690;Hyundai;Tucson;Tucson Gls 2.0l 16v (flex) (aut);98.957;2017;SC;Kobrasol - São José;Vazio
13;81.000;Fiat;Doblo;Essence 7l E;69.000;2020;SC;Itoupava Seca - Blumenau;Vazio
14;81.880;Chevrolet;Tracker;1.8 Mpfi Lt 4x2 16v Flex 4p Automático;48.000;2016;SC;América - Joinville;Vazio
15;84.900;Ford;Focus;Se 1.6;64.000;2019;SC;Salto Norte - Blumenau;Vazio
16;77.990;Hyundai;Hb20;1.6 Premium At Flex;56.335;2019;SC;Ponte do Imaruim - Palhoça;Vazio
17;89.790;Fiat;Strada;1.8 Adventure Cd;33.778;2019;SC;Palhoça;Vazio
18;71.990;Fiat;Strada;1.8 Adventure Cd;77.147;2015;SC;Palhoça;Vazio
19;79.890;Jeep;Renegade;1.8 Sport 4x2 At Flex;79.625;2016;SC;Palhoça;Vazio
20;89.990;Toyota;Yaris;1.5 Xs At;46.762;2020;SC;Palhoça;Vazio
21;62.990;Peugeot;2008;2008 Griffe 1.6 16v (aut) (flex);124.184;2016;SC;Kobrasol - São José;Vazio
22;69.890;Renault;Kwid;1.0 12v Intense Sce 5p 5 Marchas;222.222;2022;SC;Tijucas;Vazio
23;56.690;Hyundai;Hb20;Hb20 1.0 Unique;40.550;2019;SC;Kobrasol - São José;Vazio
24;85.900;Honda;Wr-v;Wr-v Exl 1.5 Flexone Cvt (flex);94.739;2018;SC;Kobrasol - São José;Vazio
25;81.990;Fiat;Fiorino;Fiorino Furgao 1.4 Hard Working;92.817;2021;SC;Kobrasol - São José;Vazio
26;76.900;Fiat;Cronos;Fiat Cronos Precision 1.8 E.torq At6 (flex) Aut;60.763;2019;SC;Kobrasol - São José;Vazio
27;56.990;Renault;Logan;Expression 1.0;55.000;2020;SC;Brusque;Vazio
28;57.990;Renault;Logan;Renault Logan Expression 1.0 2019/2020;55.000;2020;SC;Santa Mônica - Florianópolis;Vazio
29;81.990;Ford;Ecosport;Ford Ecosport Se At 1.5;27.200;2020;SC;Barreiros - São José;Vazio
30;64.900;Ford;Ecosport;1.6 16v Freestyle Flex 5p;74.000;2016;SC;Schroeder;Vazio
31;55.900;Fiat;Grand;Siena 1.4 Attractive Flex 4p;72.900;2019;SC;Schroeder;Vazio
32;57.900;Chevrolet;Prisma;Chevrolet Prisma Joy 1.0;46.000;2019;SC;Barreiros - São José;Vazio
33;56.990;Chevrolet;Prisma;Joy 1.0;46.000;2019;SC;Rio do Sul;Vazio
34;59.920;Chevrolet;Joy;1.0 Spe4 Flex Plus Manual;50.505;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
35;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;54.166;2020;SC;Próspera - Criciúma;Localiza Seminovos
36;68.060;Renault;Logan;1.6 16v Sce Flex Zen Manual;58.028;2021;SC;Próspera - Criciúma;Localiza Seminovos
37;89.990;Chevrolet;Spin;1.8 Activ7 8v Flex 4p Automático;50.541;2020;SC;Próspera - Criciúma;Localiza Seminovos
38;69.990;Chevrolet;Onix;1.0 Flex Lt Manual;51.777;2020;SC;Próspera - Criciúma;Localiza Seminovos
39;58.290;Ford;Ka;1.5 Ti-vct Flex Se Manual;50.467;2020;SC;Próspera - Criciúma;Localiza Seminovos
40;69.990;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;51.957;2020;SC;Próspera - Criciúma;Localiza Seminovos
41;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;55.350;2020;SC;Próspera - Criciúma;Localiza Seminovos
42;72.990;Chevrolet;Cobalt;1.8 Mpfi Ltz 8v Flex 4p Automático;50.132;2020;SC;Próspera - Criciúma;Localiza Seminovos
43;59.070;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;42.777;2020;SC;Próspera - Criciúma;Localiza Seminovos
44;57.020;Volkswagen;Gol;1.0 12v Mpi Totalflex 4p Manual;49.726;2021;SC;Próspera - Criciúma;Localiza Seminovos
45;57.790;Renault;Sandero;1.0 12v Sce Flex Zen Manual;45.134;2021;SC;Próspera - Criciúma;Localiza Seminovos
46;65.290;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;63.737;2020;SC;Próspera - Criciúma;Localiza Seminovos
47;78.900;Chevrolet;Cruze;Lt 1.8;133.000;2015;SC;Brusque;Vazio
48;57.280;Ford;Ka;1.5 Ti-vct Flex Se Manual;76.176;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
49;58.290;Ford;Ka;1.5 Ti-vct Flex Se Manual;52.276;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
50;73.900;Jeep;Renegade;Renegade Sport 1.8 4x2 Flex 16v Mec.;106.126;2016;SC;Kobrasol - São José;Vazio
51;79.990;Volkswagen;Golf;Golf 1.4 Tsi Highline (aut);136.934;2015;SC;Kobrasol - São José;Vazio
52;63.690;Renault;Sandero;Sandero 1.6 Zen Mec 4p Flex;58.551;2020;SC;Kobrasol - São José;Vazio
53;55.900;Chevrolet;Onix;Onix 1.0 Lt Spe/4;99.168;2019;SC;Kobrasol - São José;Vazio
54;75.690;Jeep;Renegade;Renegade Sport 1.8 (aut) (flex);80.500;2016;SC;Kobrasol - São José;Vazio
55;86.690;Chevrolet;Cruze;Cruze Lt 1.4 16v Ecotec (aut) (flex);103.094;2017;SC;Kobrasol - São José;Vazio
56;70.890;Honda;City;City Exl 1.5 Cvt (flex) Aut 4p;139.096;2016;SC;Kobrasol - São José;Vazio
57;59.900;Chevrolet;Spin;Spin Ls 1.8 5s (flex);80.615;2019;SC;Kobrasol - São José;Vazio
58;55.900;Volkswagen;Fox;Fox 1.6 Msi Connect (flex);96.153;2018;SC;Kobrasol - São José;Vazio
59;74.900;Hyundai;Hb20s;Hb20s 1.6 Premium (aut);86.600;2019;SC;Kobrasol - São José;Vazio
60;85.900;Honda;Hr-v;Hr-v Ex Cvt 1.8 I-vtec Flexone;140.912;2016;SC;Kobrasol - São José;Vazio
61;60.900;Chevrolet;Prisma;Prisma 1.4 Sedan Lt Spe/4 Mec 4p;79.980;2018;SC;Kobrasol - São José;Vazio
62;66.990;Fiat;Argo;Fiat Argo Drive 1.0 12v 2020 Completo;30.300;2020;SC;Rio Tavares - Florianópolis;Vazio
63;89.990;Peugeot;2008;Crossway 1.6 Automatico;69.000;2019;SC;Brusque;Vazio
64;66.770;Fiat;Strada;1.4 Mpi Hard Working Cs 8v Flex 2p Manual;50.130;2020;SC;Itoupava Norte - Blumenau;Localiza Seminovos
65;83.760;Ford;Ecosport;1.5 Ti-vct Flex Se Automático;38.300;2020;SC;Centro - Joinville;Localiza Seminovos
66;70.650;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;57.352;2020;SC;Centro - Joinville;Localiza Seminovos
67;58.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;56.071;2020;SC;Centro - Joinville;Localiza Seminovos
68;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;55.856;2020;SC;Centro - Joinville;Localiza Seminovos
69;67.690;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;67.933;2019;SC;Centro - Joinville;Localiza Seminovos
70;70.990;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Manual;61.103;2019;SC;Centro - Joinville;Localiza Seminovos
71;58.290;Ford;Ka;1.5 Ti-vct Flex Se Manual;65.438;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
72;60.070;Ford;Ka;1.5 Ti-vct Flex Se Manual;37.819;2020;SC;Itoupava Norte - Blumenau;Localiza Seminovos
73;60.160;Ford;Ka;1.5 Ti-vct Flex Se Manual;50.693;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
74;59.980;Ford;Ka;1.5 Ti-vct Flex Se Manual;54.895;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
75;59.990;Ford;Ka;1.5 Ti-vct Flex Se Manual;53.510;2020;SC;Centro - Joinville;Localiza Seminovos
76;56.590;Chevrolet;Onix;1.0 Mpfi Joy 8v Flex 4p Manual;61.190;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
77;59.360;Ford;Ka;1.5 Ti-vct Flex Se Manual;50.154;2020;SC;Barreiros - São José;Localiza Seminovos
78;56.030;Ford;Ka;1.5 Ti-vct Flex Se Manual;24.178;2019;SC;Saco Grande - Florianópolis;Localiza Seminovos
79;64.010;Fiat;Strada;1.4 Mpi Hard Working Cs 8v Flex 2p Manual;66.745;2020;SC;Itoupava Norte - Blumenau;Localiza Seminovos
80;62.230;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;57.396;2021;SC;Saco Grande - Florianópolis;Localiza Seminovos
81;82.770;Ford;Ecosport;1.5 Ti-vct Flex Se Automático;52.234;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
82;59.660;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;50.240;2020;SC;Itoupava Norte - Blumenau;Localiza Seminovos
83;61.450;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;50.623;2021;SC;Itoupava Norte - Blumenau;Localiza Seminovos
84;89.110;Jeep;Renegade;1.8 16v Flex Longitude 4p Automático;54.046;2019;SC;Barreiros - São José;Localiza Seminovos
85;89.990;Chevrolet;Spin;1.8 Activ7 8v Flex 4p Automático;50.892;2020;SC;Barreiros - São José;Localiza Seminovos
86;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;95.834;2020;SC;Itoupava Norte - Blumenau;Localiza Seminovos
87;59.360;Ford;Ka;1.5 Ti-vct Flex Se Manual;50.400;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
88;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;50.348;2020;SC;Centro - Joinville;Localiza Seminovos
89;88.990;Chevrolet;Spin;1.8 Activ7 8v Flex 4p Automático;51.199;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
90;69.680;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;50.380;2021;SC;Saco Grande - Florianópolis;Localiza Seminovos
91;65.290;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;61.190;2020;SC;Barreiros - São José;Localiza Seminovos
92;65.790;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;50.600;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
93;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;55.089;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
94;83.990;Volkswagen;Virtus;1.0 200 Tsi Comfortline Automático;51.298;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
95;67.690;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;50.074;2019;SC;Saco Grande - Florianópolis;Localiza Seminovos
96;69.790;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;50.200;2019;SC;Saco Grande - Florianópolis;Localiza Seminovos
97;56.520;Volkswagen;Gol;1.0 12v Mpi Totalflex 4p Manual;51.500;2021;SC;Saco Grande - Florianópolis;Localiza Seminovos
98;77.380;Fiat;Cronos;1.8 E.torq Flex Precision At6;52.472;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
99;66.810;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;71.395;2019;SC;Próspera - Criciúma;Localiza Seminovos
100;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;50.265;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
101;59.290;Ford;Ka;1.5 Ti-vct Flex Se Manual;48.542;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
102;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;51.092;2020;SC;Centro - Joinville;Localiza Seminovos
103;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;51.853;2020;SC;Itoupava Norte - Blumenau;Localiza Seminovos
104;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;57.295;2020;SC;Centro - Joinville;Localiza Seminovos
105;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;52.382;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
106;69.790;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;50.116;2019;SC;Barreiros - São José;Localiza Seminovos
107;59.290;Ford;Ka;1.5 Ti-vct Flex Se Manual;62.445;2020;SC;Barreiros - São José;Localiza Seminovos
108;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;50.556;2020;SC;Centro - Joinville;Localiza Seminovos
109;69.990;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;50.975;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
110;82.650;Ford;Ecosport;1.5 Ti-vct Flex Se Automático;51.888;2020;SC;Centro - Joinville;Localiza Seminovos
111;84.490;Renault;Duster;1.6 16v Sce Flex Gopro X-tronic;50.913;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
112;68.990;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;50.865;2019;SC;Saco Grande - Florianópolis;Localiza Seminovos
113;69.490;Chevrolet;Onix;1.0 Flex Lt Manual;50.736;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
114;82.260;Citroën;C4;Cactus 1.6 Vti 120 Flex Feel Eat6;50.820;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
115;68.700;Chevrolet;Onix;1.0 Flex Lt Manual;71.325;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
116;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;50.091;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
117;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;52.137;2020;SC;Centro - Joinville;Localiza Seminovos
118;68.990;Chevrolet;Onix;1.0 Flex Lt Manual;51.058;2020;SC;Barreiros - São José;Localiza Seminovos
119;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;51.868;2020;SC;Barreiros - São José;Localiza Seminovos
120;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;50.784;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
121;69.490;Chevrolet;Onix;1.0 Flex Lt Manual;50.625;2020;SC;Centro - Joinville;Localiza Seminovos
122;69.900;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;46.692;2020;SC;Centro - Joinville;Localiza Seminovos
123;60.990;Fiat;Argo;1.0 Firefly Flex Drive Manual;51.213;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
124;67.690;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;52.387;2019;SC;Centro - Joinville;Localiza Seminovos
125;68.990;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;56.540;2019;SC;Saco Grande - Florianópolis;Localiza Seminovos
126;89.990;Chevrolet;Spin;1.8 Activ7 8v Flex 4p Automático;51.127;2020;SC;Barreiros - São José;Localiza Seminovos
127;62.470;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;52.220;2021;SC;Saco Grande - Florianópolis;Localiza Seminovos
128;63.220;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;38.075;2021;SC;Barreiros - São José;Localiza Seminovos
129;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;51.461;2020;SC;Barreiros - São José;Localiza Seminovos
130;72.940;Chevrolet;Cobalt;1.8 Mpfi Ltz 8v Flex 4p Automático;52.547;2019;SC;Barreiros - São José;Localiza Seminovos
131;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;50.103;2020;SC;Barreiros - São José;Localiza Seminovos
132;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;50.104;2020;SC;Barreiros - São José;Localiza Seminovos
133;69.990;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;60.341;2020;SC;Barreiros - São José;Localiza Seminovos
134;56.590;Chevrolet;Joy;1.0 Spe4 Flex Manual;50.291;2020;SC;Barreiros - São José;Localiza Seminovos
135;56.590;Chevrolet;Joy;1.0 Spe4 Flex Manual;55.234;2020;SC;Barreiros - São José;Localiza Seminovos
136;56.590;Chevrolet;Joy;1.0 Spe4 Flex Manual;58.247;2020;SC;Barreiros - São José;Localiza Seminovos
137;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;51.091;2020;SC;Barreiros - São José;Localiza Seminovos
138;59.290;Ford;Ka;1.5 Ti-vct Flex Se Manual;44.770;2020;SC;Barreiros - São José;Localiza Seminovos
139;56.590;Chevrolet;Joy;1.0 Spe4 Flex Manual;51.036;2020;SC;Barreiros - São José;Localiza Seminovos
140;56.590;Chevrolet;Joy;1.0 Spe4 Flex Manual;47.024;2020;SC;Barreiros - São José;Localiza Seminovos
141;67.690;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;50.431;2019;SC;Centro - Joinville;Localiza Seminovos
142;77.290;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;33.966;2020;SC;Barreiros - São José;Localiza Seminovos
143;67.690;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;47.363;2019;SC;Barreiros - São José;Localiza Seminovos
144;56.590;Chevrolet;Joy;1.0 Spe4 Flex Plus Manual;51.377;2020;SC;Barreiros - São José;Localiza Seminovos
145;56.590;Chevrolet;Joy;1.0 Spe4 Flex Manual;51.348;2020;SC;Barreiros - São José;Localiza Seminovos
146;76.990;Chevrolet;Onix;Ltz 1.4;72.500;2018;SC;Brusque;Vazio
